Load	Stroke	Strain	Time
79.000000	0.000000	4.094000	0.001633
75.000000	0.000000	4.094000	0.003333
78.000000	0.000000	4.094000	0.005000
78.000000	0.000000	4.094000	0.006150
77.000000	0.000000	4.094000	0.007300
75.000000	0.000000	4.094000	0.008500
77.000000	0.000000	4.094000	0.009633
79.000000	0.000000	4.094000	0.010783
78.000000	0.000000	4.094000	0.011950
80.000000	0.000000	4.094000	0.013600
77.000000	0.000000	4.094000	0.015300
78.000000	0.000000	4.094000	0.016433
75.000000	0.000000	4.094000	0.017567
76.000000	0.000000	4.094000	0.018717
77.000000	0.000000	4.094000	0.019833
75.000000	0.000000	4.094000	0.020967
78.000000	0.000000	4.094000	0.022133
79.000000	0.000000	4.094000	0.023250
78.000000	0.000000	4.094000	0.024400
80.000000	0.000000	4.094000	0.025550
77.000000	0.000000	4.094000	0.026683
77.000000	0.000000	4.094000	0.027833
77.000000	0.000000	4.094000	0.028983
75.000000	0.000000	4.094000	0.030633
76.000000	0.000000	4.094000	0.031767
75.000000	0.000000	4.094000	0.034383
79.000000	0.000000	4.094000	0.035517
80.000000	0.000000	4.094000	0.036650
79.000000	0.000000	4.094000	0.037800
77.000000	0.000000	4.094000	0.038933
78.000000	0.000000	4.094000	0.040067
75.000000	0.000000	4.094000	0.041233
78.000000	0.000000	4.094000	0.042350
76.000000	0.000000	4.094000	0.043483
79.000000	0.000000	4.094000	0.044633
80.000000	0.000000	4.094000	0.045750
78.000000	0.000000	4.094000	0.047383
78.000000	0.000000	4.094000	0.048533
79.000000	0.000000	4.094000	0.049650
76.000000	0.000000	4.094000	0.050783
78.000000	0.000000	4.094000	0.051917
80.000000	0.000000	4.094000	0.053050
77.000000	0.000000	4.094000	0.054300
77.000000	0.000000	4.094000	0.055450
78.000000	0.000000	4.094000	0.056567
77.000000	0.000000	4.094000	0.057700
82.000000	0.000000	4.094000	0.058867
77.000000	0.000000	4.094000	0.060517
77.000000	0.000000	4.094000	0.061883
81.000000	0.000000	4.094000	0.063033
85.000000	0.000300	4.094000	0.064667
82.000000	0.000500	4.094000	0.066350
83.000000	0.001000	4.094000	0.068033
84.000000	0.001300	4.094000	0.069683
88.000000	0.001300	4.094000	0.071350
90.000000	0.001800	4.094000	0.073033
88.000000	0.002000	4.094000	0.074683
87.000000	0.002500	4.094000	0.076350
89.000000	0.002800	4.094000	0.078033
95.000000	0.003000	4.094000	0.079683
98.000000	0.003600	4.094000	0.081900
98.000000	0.004100	4.094000	0.083550
99.000000	0.004300	4.094000	0.085217
100.000000	0.004600	4.094000	0.086917
103.000000	0.005100	4.094000	0.088600
101.000000	0.005300	4.094000	0.090300
100.000000	0.005600	4.094000	0.091433
101.000000	0.005800	4.094000	0.093117
104.000000	0.006100	4.094000	0.094283
105.000000	0.006400	4.094000	0.095983
109.000000	0.006900	4.094000	0.097700
111.000000	0.007100	4.094000	0.100083
111.000000	0.007600	4.094000	0.101783
114.000000	0.007900	4.094000	0.102933
115.000000	0.008100	4.094000	0.104067
115.000000	0.008400	4.094000	0.105783
114.000000	0.008600	4.094000	0.106933
115.000000	0.008900	4.094000	0.108067
114.000000	0.009100	4.094000	0.109217
116.000000	0.009400	4.094000	0.110883
